Alloy Designation,Mg (wt%),Zn(wt%),Al(wt%),Ca(wt%),Sr(wt%),Zr(wt%),Li(wt%),Y(wt%),,Holding Temperature,Holding Time,,Working Type,Working Temperature,% Deformation,,Matrix Phase,Matrix Grain Size,% Matrix Phase,Precipitate Phase,Precipitate Size,% Precipitate,,Hardness  (HV) ,Elastic modulus  (GPa) ,YS  (MPa) ,UTS  (MPa) ,%Elongation,,Rs (Ω),Rp (Ω),Icorr (μA/cm^2),Ecorr (V),CR (mm/y) ,Solution Name,Reference,Data Entered by
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,196,219,25,,,,,,,,,
Mg-8Li-1Al,,,1,,,,8,,,,,,,,,,,,,,,,,,,198,223,27,,,,,,,,,
Mg-8Li-7Al,,,7,,,,8,,,,,,,,,,,,,,,,,,,184,239,33,,,,,,,,,
Mg-11Li-3Al,,,3,,,,,,,,,,,,,,,,,,,,,,,,138,45,,,,,,,,,
Mg-11Li-3Al,,,3,,,,,,,,,,,,,,,,,,,,,,,,247,7,,,,,,,,,
Mg-14Li-1Al,,,1,,,,,,,,,,,,,,,,,,,,,,,,130,12,,,,,,,,,
Mg-7Li-1Y,,,,,,,7,1,,,,,,,,,,,,,,,,,,117,120,33,,,,,,,,,
Mg-7Li-1Y,,,,,,,7,1,,,,,,,,,,,,,,,,,,107,112,35,,,,,,,,,
Mg-7Li-1Y,,,,,,,7,1,,,,,,,,,,,,,,,,,,108,115,42,,,,,,,,,
Mg-7Li-3Y,,,,,,,7,3,,,,,,,,,,,,,,,,,,144,160,20,,,,,,,,,
Mg-7Li-5Y,,,,,,,7,5,,,,,,,,,,,,,,,,,,147,168,7,,,,,,,,,
Mg-7Li-7Y,,,,,,,7,7,,,,,,,,,,,,,,,,,,158,163,5,,,,,,,,,
Mg-7Li-7Y,,,,,,,7,7,,,,,,,,,,,,,,,,,,125,142,5,,,,,,,,,
Mg-7Li-7Y,,,,,,,7,7,,,,,,,,,,,,,,,,,,125,142,7,,,,,,,,,
Mg-5.8Li-0.46Zn,,0.46,,,,,5.8,,,,,,,,,,,,,,,,,,,146.2,197.9,20.8,,,,,,,,,
Mg-5.8Li-0.51Zn,,0.51,,,,,5.8,,,,,,,,,,,,,,,,,,,146.2,197.9,20.64,,,,,,,,,
Mg-6Li-1Zn,,1,,,,,6,,,,,,,,,,,,,,,,,,,112,155,32.2,,,,,,,,,
Mg-8.5Li-1Zn,,1,,,,,8.5,,,,,,,,,,,,,,,,,,,126,134,63.4,,,,,,,,,
Mg-9Li-1Zn,,1,,,,,9,,,,,,,,,,,,,,,,,,,82,153,24,,,,,,,,,
Mg-9Li-1Zn,,1,,,,,9,,,,,,,,,,,,,,,,,,,100,141,57,,,,,,,,,
Mg-9Li-1Zn,,1,,,,,9,,,,,,,,,,,,,,,,,,,158,183,31,,,,,,,,,
Mg-9.2Li-0.47Zn,,0.47,,,,,9.2,,,,,,,,,,,,,,,,,,,115.3,130.4,51.9,,,,,,,,,
Mg-9.5Li-1Zn,,1,,,,,9.5,,,,,,,,,,,,,,,,,,,121,134,71.4,,,,,,,,,
Mg-11Li-1Zn,,1,,,,,11,,,,,,,,,,,,,,,,,,,97,133,62,,,,,,,,,
Mg-11Li-1Zn,,1,,,,,11,,,,,,,,,,,,,,,,,,,149,173,32,,,,,,,,,
Mg-12Li-1Zn,,1,,,,,12,,,,,,,,,,,,,,,,,,,124,125,56,,,,,,,,,
Mg-8.5Li-0.5Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,102,29.5,,,,,,,,,
Mg-8.5Li-0.5Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,108,34,,,,,,,,,
Mg-8.5Li-0.5Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,158,44,,,,,,,,,
Mg-8.5Li-1Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,108,45,,,,,,,,,
